epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/e2e_precision(B),metrics/e2e_recall(B),metrics/e2e_mAP50(B),metrics/e2e_mAP50-95(B),fitness_e2e,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
39,232.131,2.94027,8.25403,0.39429,0,0,0,0,0,0,0,0,0,3.60551,10.444,0.20311,0.00222421,0.000741403,0.00222421,0.000741403,0.0252242,0.0237414,0.00222421,0.000741403
40,235.345,3.36324,13.788,0.25518,0,0,0,0,0,0,0,0,0,3.59872,10.458,0.20191,0.0020293,0.000676432,0.0020293,0.000676432,0.0230293,0.0216764,0.0020293,0.000676432
41,237.864,2.66717,9.76375,0.32865,0,0,0,0,0,0,0,0,0,3.60395,10.458,0.20191,0.00184055,0.000613518,0.00184055,0.000613518,0.0208406,0.0196135,0.00184055,0.000613518
42,241.268,3.28042,34.2509,0.31143,0,0,0,0,0,0,0,0,0,3.60912,10.458,0.20191,0.00166035,0.000553451,0.00166035,0.000553451,0.0186604,0.0175535,0.00166035,0.000553451
43,244.379,3.65526,14.3682,0.38954,0,0,0,0,0,0,0,0,0,3.61425,10.458,0.20191,0.00149109,0.000497029,0.00149109,0.000497029,0.0164911,0.015497,0.00149109,0.000497029
44,247.02,3.22283,31.3197,0.36156,0,0,0,0,0,0,0,0,0,3.61933,10.458,0.20191,0.00133514,0.000445046,0.00133514,0.000445046,0.0143351,0.013445,0.00133514,0.000445046
45,249.854,3.48083,23.5057,0.47627,0,0,0,0,0,0,0,0,0,3.62436,10.458,0.20191,0.00119487,0.000398291,0.00119487,0.000398291,0.0121949,0.0113983,0.00119487,0.000398291
46,252.819,3.79335,22.8654,0.48109,0,0,0,0,0,0,0,0,0,3.62934,10.458,0.20191,0.00107263,0.000357545,0.00107263,0.000357545,0.0100726,0.00935754,0.00107263,0.000357545
47,255.326,2.57452,14.9873,0.31483,0,0,0,0,0,0,0,0,0,3.63428,10.458,0.20191,0.000970715,0.000323572,0.000970715,0.000323572,0.00797072,0.00732357,0.000970715,0.000323572
48,258.164,3.55886,19.2514,0.53564,0,0,0,0,0,0,0,0,0,3.63916,10.458,0.20191,0.000891358,0.000297119,0.000891358,0.000297119,0.00589136,0.00529712,0.000891358,0.000297119
49,260.606,3.48495,8.55377,0.44728,0,0,0,0,0,0,0,0,0,3.644,10.458,0.20191,0.000836731,0.00027891,0.000836731,0.00027891,0.00383673,0.00327891,0.000836731,0.00027891
50,262.207,3.57945,7.34938,0.55377,0,0,0,0,0,0,0,0,0,3.64878,10.458,0.20191,0.000808921,0.00026964,0.000808921,0.00026964,0.00180892,0.00126964,0.000808921,0.00026964
